Doodle RingGS 1 ring 1 scroll of illusory script 1 common magical ink 8 hours 4 DC 12  common 100 gp
Bag of Beans 1 bag of beans 1 scroll of plant growth 1 scroll of conjure animals 1 uncommon primal essence 6 common primal essence 24 hours (3 days) 12 DC 15  uncommon 1,750 gp
Bag of Holding 1 bag 1 scroll of secret chest 2 uncommon arcane essence 16 hours (2 days) 8 DC 16  uncommon 1,000 gp
Bag of Tricks, Tan 1 bag 4 common arcane essence 1 scroll of conjure animals 12 hours (1.5 days) 6 DC 14  uncommon 520 gp
Bag of Tricks, Gray 1 bag 4 common arcane essence 1 scroll of conjure animals 12 hours (1.5 days) 6 DC 14  uncommon 520 gp
Bag of Tricks, Rust 1 bag 4 common arcane essence 1 scroll of conjure animals 12 hours (1.5 days) 6 DC 14  uncommon 520 gp
Boots of Elvenkind 1 boots worth at least 50 gp 1 scroll of silence 1 scroll of pass without a trace 1 uncommon primal essence 1 common primal essence 8 hours 4 DC 14  uncommon 470 gp
Boots of Striding and Springing 1 boots worth at least 50 gp 1 common arcane essence 1 common primal essence 1 scroll of longstrider 1 scroll of jump 8 hours 4 DC 15  uncommon 325 gp
Boots of the Winterlands 1 boots 1 scroll of protection from energy 1 scroll of arctic breathK 2 uncommon primal essence 12 hours (1.5 days) 6 DC 15  uncommon 760 gp
Bracers of Archery 1 set of bracers 1 scroll of seeking shotK 1 uncommon primal essence 1 uncommon arcane essence 12 hours (1.5 days) 6 DC 15  uncommon 500 gp
Broom of Flying 1 broom 1 scroll of levitate 1 scroll of fly 1 scroll of animate objectK 2 uncommon primal essence 16 hours (2 days) 8 DC 16  uncommon 1,050 gp
Cap of Water Breathing 1 leather cap 1 scroll of water breathing 1 common arcane essence 2 commom primal essence 8 hours 4 DC 14  uncommon 270 gp
Cloak of the Manta Ray 1 cloak 1 scroll of water breathing 1 scroll of alter self 2 common primal essence 8 hours 4 DC 14  uncommon 600 gp
Cloak of Protection 1 cloak 1 scroll of shield of faith 1 scroll of mage armor 1 scroll of protection from energy 1 scroll of shield 1 scroll of false life 1 uncommon arcane essence 1 uncommon divine essence 16 hours 8 16  uncommon 1,150 gp
Circlet of Blasting 1 circlet worth at least 50 gp 1 scroll of scorching ray 1 common arcane essence 1 common primal essence 8 hours 4 DC 12  uncommon 250 gp
