min,max,dc,locale,item,quantity
1,10,,forest,,
11,20,10,forest,common curative reagent,1
21,40,10,forest,common curative reagent,1
41,50,10,forest,common poisonous reagent,1
51,60,10,forest,common reactive reagent,1
60,70,10,forest,common poisonous reagent,1d4
71,80,10,forest,common curative reagent,1d4
81,90,10,forest,uncommon curative reagent,1
91,95,10,forest,uncommon poisonous reagent,1
96,100,10,forest,common primal essence,1
1,10,,desert,,
11,20,10,desert,,
21,40,10,desert,common reactive reagent,1
41,50,10,desert,common curative reagent,1
51,60,10,desert,common poisonous reagent,1
60,70,10,desert,common reactive reagent,1d2
71,80,10,desert,common reactive reagent,1d2
81,90,10,desert,uncommon reactive reagent,1
91,95,10,desert,uncommon poisonous reagent,1
96,100,10,desert,common arcane essence,1
1,10,,grassland,,
11,20,10,grassland,,
21,40,10,grassland,common curative reagent,1
41,50,10,grassland,common reactive reagent,1
51,60,10,grassland,common poisonous reagent,1
60,70,10,grassland,common poisonous reagent,1d2
71,80,10,grassland,common curative reagent,1d2
81,90,10,grassland,uncommon curative reagent,1
91,95,10,grassland,uncommon reactive reagent,1
96,100,10,grassland,common divine essence,1
1,10,,marsh,,
11,20,10,marsh,common poisonous reagent,1
21,40,10,marsh,common poisonous reagent,1
41,50,10,marsh,common curative reagent,1
51,60,10,marsh,common reactive reagent,1
60,70,10,marsh,common poisonous reagent,1d4
71,80,10,marsh,common reactive reagent,1d4
81,90,10,marsh,uncommon poisonous reagent,1
91,95,10,marsh,uncommon reactive reagent,1
96,100,10,marsh,uncommon primal essence,1
1,10,,mountains,,
11,20,10,mountains,,
21,40,10,mountains,common reactive reagent,1
41,50,10,mountains,common curative reagent,1
51,60,10,mountains,common poisonous reagent,1
60,70,10,mountains,common curative reagent,1d2
71,80,10,mountains,common reactive reagent,1d2
81,90,10,mountains,uncommon reactive reagent,1
91,95,10,mountains,common curative reagent,1
96,100,10,mountains,common primal essence,1
1,10,,caves,,
11,30,12,caves,common reactive reagent,1
31,50,12,caves,common poisonous reagent,1
51,60,12,caves,common reactive reagent,1d4
61,70,12,caves,uncommon reactive reagent,1
71,80,12,caves,uncommon curative reagent,1
81,90,12,caves,common divine essence,1
91,95,12,caves,uncommon poisonous reagent,1
96,100,12,caves,uncommon divine essence,1
1,10,,underground,,
11,30,12,underground,common poisonous reagent,1
31,50,12,underground,common reactive reagent,1
51,60,12,underground,common poisonous reagent,1d4
61,70,12,underground,uncommon poisonous reagent,1
71,80,12,underground,uncommon curative reagent,1
81,90,12,underground,common arcane essence,1
91,95,12,underground,uncommon poisonous reagent,1
96,100,12,underground,uncommon arcane essence,1
1,10,,jungle,,
11,30,12,jungle,common curative reagent,1
31,50,12,jungle,common poisonous reagent,1
51,60,12,jungle,common curative reagent,1d4
61,70,12,jungle,uncommon curative reagent,1
71,80,12,jungle,uncommon reactive reagent,1
81,90,12,jungle,common primal essence,1
91,95,12,jungle,uncommon reactive reagent,1
96,100,12,jungle,uncommon primal essence,1
1,10,,coastal,,
11,30,12,coastal,common curative reagent,1
31,50,12,coastal,common poisonous reagent,1
51,60,12,coastal,common curative reagent,1d4
61,70,12,coastal,uncommon reactive reagent,1
71,80,12,coastal,uncommon reactive reagent,1
81,90,12,coastal,common primal essence,1
91,95,12,coastal,uncommon reactive reagent,1
96,100,12,coastal,uncommon primal essence,1
1,10,,arctic,,
11,30,12,arctic,common reactive reagent,1
31,50,12,arctic,common curative reagent,1
51,60,12,arctic,common reactive reagent,1d4
61,70,12,arctic,uncommon curative reagent,1
71,80,12,arctic,uncommon reactive reagent,1
81,90,12,arctic,common primal essence,1
91,95,12,arctic,uncommon reactive reagent,1
96,100,12,arctic,uncommon primal essence,1
